Ingredient,PDT Cocktail,,Notes
,Crimson Tide,100,Lemon Hart Overproof
,Death Bed,102,Pampero Aniversario
,Daiquiri,103,Banks 5 Island
,East India Company,111,Pampero Aniversario
,Espresso Bongo,118,Appleton Reserve
,Fish House Punch,120,Gosling's Black Seal
,Fog Cutter,123,Bacardi 8
,Foreign Legion,124,Mount Gay XO
,Hemingway Daiquiri,141,Banks 5 Island
,Hotel Nacional Special,146,Bacardi 8
,La Florida Cocktail,158,Banks 5 Island
,Luau,168,"Wray & Nephew Overproof, Appleton Estate V/X, El Dorado 15 yo"
,Mai-Tai,168,Banks 5 Island
,Mary Pickford,174,Banks 5 Island
,Milk Punch,180,Myer's Dark
,Mojito,181,Banks 5 Island
,Mum's Apple Pie,187,Havana Club 7 yo
,Navy Grog,187,"Gosling's Black Seal, Appleton Reserve, El Dorado 15 yo"
,Paddington,199,Banks 5 Island
,Plátanos en Mole Old Fashioned,209,Zacapa 23 Centenario
,Mo,224,Banks 5 Island
,Romeo y Julieta,228,Zacapa 23 Centenario
,Royal Bermuda Yachtclub Cocktail,231,"Mount Gay Eclipse Amber, Flor de Caña Silver Dry"
,Silver Root Beer Fizz,239,"Mount Gay Eclipse White, Smith & Cross Jamaican"
,Zombie Punch,271,"Appleton Estate Reserve, Bacardi 8, Lemon Hart Overproof"
Sake,100 Year Punch,45,"Bek Se Ju ""100-year Wine"""
,Bee's Sip,60,"Masumi ""Okuden"" Junmai"
,Brewer's Breakfast,78,Masumi Arabashiri
,Japanese Courage,150,"Kamoizumi ""Shusen"""
,Koyo,157,"Masumi ""Okuden"" Junmai"
,Mint Apple Crisp,180,Masumi Arabashiri
,Nigori Milk Punch,191,Kamoizumi Nigori
,Spice Market,245,Masumi Arabashiri
Sambuca,Blackstar,69,Borsci
"Schnapps, Apple",Apple Daiquiri,51,Schönauer Apfel
,Johnny Apple Collins,152,Schönauer Apfel
,Norman Inversion,192,Schönauer Apfel
Sherry,#8,42,Lustau Palo Cortado
,Condiment Cocktail,94,Lustau Palo Cortado
,Cranberry Cobbler,98,Lustau East India
,Dewey D.,105,Lustau East India
,Dulce de Leche,110,Toro Albala Pedro Ximenez
,El Molino,116,Lustau Palo Cortado
,Fog Cutter,123,Lustau Cream
,Foreign Legion,124,Lustau Manzanilla
,Girl From Jerez,133,Lustau Pedro Ximenez
,King Bee,155,Lustau Palo Cortado
,La Perla,159,Lustau Manzanilla
,Lion's Tooth,166,Lustau Palo Cortado
,Mount Vernon,186,Lustau Pedro Ximenez
,Rapscallion,215,Lustau Pedro Ximenez
,Rye Witch,232,Lustau Palo Cortado
,Trident,253,Lustau Manzanilla
,Up to Date,258,Lustau Manzanilla
,Woolworth,270,Lustau Manzanilla
"Shrubb, Concord Grape",Paul's Club Cocktail,203,
"Shrubb, Creole",Against All Odds,46,Rhum Clément
,L.E.S. Globetrotter,167,Rhum Clément
,Rhum Club,224,Rhum Clément
"Shrubb, Quince",Wrong Aisle,271,Huilerie Beaujolaise Vinaigre de Coing
"Soda, Club",Americano Highball,49,
,Aperol Spritz,51,
,Crimson Tide,100,
,Gin & Tonic,132,
,Mojito,181,
,Morango Fizz,183,
,Noval Cup,194,
,Parkside Fizz,202,
,Pharoaoh Cooler,206,
,Ramos Gin Fizz,215,
,Silver Lining,239,
,Sloe Gin Fizz,242,
,Tom Collins,252,
,Wellington Fizz,264,
,White Birch Fizz,265,
"Soda, Coca-Cola",Cinema Highball,90,
"Soda, Grapefruit",Paloma,202,
"Soda, Lemon",Johnny Apple Collins,152,
,Pearl Button,204,Limonata
Sorbet,Coconut Colada,93,
"Sorrel, Spiced",Crimson Tide,100,
Strega,Heirloom,140,
,Rye Witch,232,
,White Birch Fizz,265,
,Witch's Kiss,268,
Suze,Brown Bomber,80,
,White Birch Fizz,265,spritz
,White Negroni,267,
"Syrup, Agave",Blackbeard,67,
,Lawn Dart,162,
,Margarita,171,
,Mezcal Mule,178,
,Pearl of Puebla,205,
,Red-Headed Saint,219,
,Resting Point,222,
,Tommy's Margarita,252,
"Syrup, Black Cardamon",Mariner,172,
"Syrup, Cane Sugar",Rhum Club,224,
,Shiso Delicious,235,
,Ti-Punch,251,
"Syrup, Caramelized Simple",Silk Road,238,
"Syrup, Clove",Silver Sangaree,240,
"Syrup, Cranberry",Cranberry Cobbler,98,
"Syrup, Demerara",Masataka Swizzle,174,
,Mum's Apple Pie,187,
,New Amsterdam,188,
,Nth Degree,194,
,Old-Fashioned Whiskey Cocktail,195,
,Queens Park Swizzle,214,
,Rack & Rye,214,
,Single Malt Sangaree,241,
"Syrup, Grapefruit",Swiss Mist,248,
"Syrup, Honey",Airmail,48,
,Bee's Knees,59,
,Brown Derby,81,
,Falling Leaves,119,
,Gold Rush,134,
,Imperial Silver Corn Fizz,148,
,Japanese Courage,150,
,Le Père Bis,165,
,Navy Grog,187,
,St. Rita,247,
"Syrup, Kumquat",Kin Kan,156,
"Syrup, Lemon",Reverend Palmer,223,
"Syrup, Lemongrass",Brazilian Tea Punch,76,
"Syrup, Maple",Applejack Rabbit,52,
,Benton's Old-Fashioned,60,
,Betula,65,
,Great Pumpkin,136,
,Little Bit Country,167,
,Master Cleanse,175,
,Nouveau Sangaree,193,
,Pumpkin Toddy,212,
"Syrup, Rice",100 Year Punch,45,Ssal-Yut
"Syrup, Rose",Blackthorn Rose,72,
"Syrup, Tonic",Gin & Tonic,132,
"Syrup, Vanilla",Sage Old Buck,232,
"Tea, Chamomile",Le Père Bis,165,
"Tea, Jasmine",Golden Star Fizz,134,
"Tea, Hibiscus",Green Harvest,137,
"Tequila, Añejo",Dulce de Leche,110,Don Julio
,Eclipse Cocktail,113,El Tesoro
,Nouveau Carré,193,Ocho
"Tequila, Blanco",Conquistador,96,Siembra Azul
,East Village Athletic Club Cocktail,112,Siembra Azul
,El Diablo,115,Siembra Azul
,El Puente,117,José Cuervo Platino
,Fresa Verde,129,Gran Centenario
,Green Harvest,137,José Cuervo Platino
,Lawn Dart,162,Partida
,Margarita,171,El Tesoro
,Pharoaoh Cooler,206,Partida
,Rhubarbarita,224,Partida
,Siesta,237,El Tesoro Platinum
,Tommy's Margarita,252,L&J
,T&T,256,Siembra Azul
,Witch's Kiss,268,José Cuervo Platino
"Tequila, Reposado",#8,42,Don Julio
,212,43,Partida
,Águila Azteca,48,José Cuervo Tradicional
,Cafe Arroz,83,Gran Centenario
,Condiment Cocktail,94,Partida
,El Burro,115,Siembra Azul
,Frambroise Fizz,124,Siete Leguas
,La Perla,159,Partida
,Mexicano,178,Partida
,Paloma,202,Siete Leguas
,Resting Point,222,Siete Leguas
,Rosita,229,Partida
,Shaddock Rose,235,El Tesoro
"Tincture, Goldenseal",Master Cleanse,175,
"Tincture, Lavender",Flora Astoria,121,
Trader Tiki's Don's Mix,Zombie Punch,271,
"Vermouth, Bianco/Blanc",Astoria Bianco,56,Martini
,El Puente,117,Martini
,Ephemeral,117,Dolin
,Flora Astoria,121,Dolin
"Vermouth, Dry",Algonquin,50,Dolin
,Berlioni,63,Noilly Prat
,Black Thorn (Irish),70,Dolin
,Brooklyn,78,Dolin
,Bronx,79,Dolin
,Caprice,84,Dolin
,Chrysanthemum,89,Dolin
,Dry County Cocktail,107,Dolin
,Field Cocktail,119,Noilly Prat
,Flora Astoria,121,Dolin
,Kina Miele,155,Dolin
,Old Pal,198,Dolin
,Paddy Wallbanger,199,Dolin
,Rite of Spring,227,Vya
,Rose,229,Noilly Prat
,Rosita,229,Dolin
,Smoky Grove,243,Dolin
,Tuxedo,257,Dolin
,Vaccari,259,Dolin
"Vermouth, Sweet",#3 Cup,42,Martini
,Americano Highball,49,Carpano Antica
,Bijou,66,Dolin
,Blackthorn (English),70,Carpano Antica
,Blood and Sand,73,Carpano Antica
,Bobby Burns,74,Martini
,Bronx,79,Carpano Antica
,Bubbaloo,81,Carpano Antica
,De la Louisiane,103,Dolin
,Hanky Panky,138,Carpano Antica
,Harvest Sling,140,Martini
,La Florida Cocktail,158,Martini
,Left Hand Cocktail,164,Carpano Antica
,Manhattan,171,Martini
,Martinez,173,Dolin
,Negroni,188,Martini
,Newark,189,Vya
,Persephone,207,Dolin
,Professor,213,Carpano Antica
,Red Devil,217,"jujube tea-infused, Vya"
,Remember the Maine,218,Carpano Antica
,Rob Roy,228,Dolin
,Romeo y Julieta,228,Carpano Antica
,Rosita,229,Martini
,Smoky Grove,243,Carpano Antica
,Tipperary Cocktail,251,Carpano Antica
,Vieux Carré,262,Carpano Antica
Vodka,Blackstar,69,Smirnoff Black
,Gold Coast,133,Karlsson's Gold
,Mint Apple Crisp,180,Heart of the Hudson Apple 
,Moscow Mule,186,Smirnoff Black
,Parkside Fizz,202,Hangar One Buddha's Hand
,Tao of Pooh,250,42 Below Manuka Honey
,Vesper,261,Belvedere
,Wellington Fizz,264,42 Below Kiwi
"Water, Coconut",Chien Chaud,89,
,Tao of Pooh,250,
"Water, Corn",Imperial Silver Corn Fizz,148,
"Water, Orange Flower",Ramos Gin Fizz,215,
"Water, Rose Flower",Pharoaoh Cooler,206,
,Raspberries Reaching,216,
"Water, Tonic",100 Year Punch,45,
"Whiskey, Bourbon",100 Year Punch,45,Elijah Craig 12 yo
,Benton's Old-Fashioned,62,"bacon-infused, Four Roses"
,Brown Derby,81,Maker's Mark
,Figetaboutit,120,Bulleit
,Gold Rush,134,Elijah Craig 12 yo
,Johnny Apple Collins,152,Maker's Mark
,Left Hand Cocktail,164,Elijah Craig 12 yo
,Little Bit Country,167,Bulleit
,Mae West Royal Diamond Fizz,169,"goji berry-infused, Four Roses Single Barrel"
,Mint Julep,181,Booker's
,Newfangled,190,Old Grand-Dad Bonded
,New York Flip,190,Elijah Craig 12 yo
,Reverend Palmer,223,"black tea-infused, Elijah Craig 12 yo"
,Seelbach Cocktail,234,Bulleit
,Staggerac,245,George T. Stagg or other high proof
,Talbott Leaf,249,Old Grand-Dad Bonded
,There Will Be Blood,250,Old Grand-Dad Bonded
"Whiskey, Corn",Brewer's Breakfast,78,Glen Thunder
"Whiskey, Irish",Against All Odds,46,Bushmills
,Black Thorn (Irish),70,Black Bush
,Cameron's Kick,85,Jameson
,Hotel d'Alsace,146,Bushmills
,Lake George,158,Jameson
,Paddy Wallbanger,199,Black Bush
,Tipperary Cocktail,251,Black Bush
,Weeski,264,Jameson
"Whiskey, Rye",Algonquin,50,Rittenhouse
,Betula,65,"birch-infused, Rittenhouse"
,Blinker,72,Wild Turkey
,Brooklyn,78,Rittenhouse
,De la Louisiane,103,Wild Turkey
,Deshler,105,Rittenhouse
,Dewey D.,105,Old Overholt
,Diamondback,106,Rittenhouse
,Duboudreau Cocktail,110,Rittenhouse
,Frisco,129,Old Potrero Hotaling's
,Great Pumpkin,136,Rittenhouse
,Greenpoint,138,Rittenhouse
,Harvest Moon,139,Wild Turkey
,Improved Whiskey Cocktail,149,Rittenhouse
,Junior,154,Rittenhouse
,Lacrimosa,157,Rittenhouse
,Lion's Tooth,166,"dandelion root-infused, Rittenhouse"
,L.E.S. Globetrotter,167,Wild Turkey
,Manhattan,171,Wild Turkey
,Old-Fashioned Whiskey Cocktail,195,Wild Turkey
,Old Pal,198,Old Overholt
,Pumpkin Toddy,212,Rittenhouse
,Rack & Rye,214,Wild Turkey Russel's Reserve 6 yo
,Rattlesnake,216,Rittenhouse
,Remember the Maine,218,Wild Turkey Russel's Reserve 6 yo
,Rye Witch,232,Rittenhouse
,Sazerac,234,Rittenhouse
,Silver Lining,239,Old Overholt
,Solstice,243,Rittenhouse
,Triborough,253,Wild Turkey
,Up to Date,258,Wild Turkey
,Vieux Carré,262,Sazerac 6 yo
,Ward Eight,263,Rittenhouse
,Whiskey Smash,265,Rittenhouse
"Whisky, Blended Scotch",Apple Malt Toddy,53,Chivas Regal 12 yo
,Blood and Sand,73,Famous Grouse
,Cameron's Kick,85,Famous Grouse
,Gilchrist,130,Compass Box Asyla
,Mariner,172,Compass Box Oak Cross
,Prince Edward,211,Compass Box Oak Cross
,Rob Roy,228,Famous Grouse
,Rusty Nail,231,Famous Grouse
,Silver Sangaree,240,Famous Grouse
,Smoky Grove,243,Compass Box Peat Monster
,Vaccari,259,"chamomile-infused, Compass Box Asyla"
,Woolworth,270,Compass Box Asyla
"Whisky, Japanese Malt",Kansai Kick,154,Yamazaki 12 yo
,Masataka Swizzle,174,Nikka Taketsuru 12 yo
,Shiso Malt Sour,236,Yamazaki 12 yo
"Whisky, Single Malt Scotch",Bobby Burns,74,Benromach 12 yo
,Lake George,158,Glenlivet 12 yo
,Le Père Bis,165,Ardbeg 10 yo
,Rapscallion,215,Talisker 10 yo
,Sage Old Buck,232,Benromach 12 yo
,Single Malt Sangaree,241,Oban 14 yo
,Vauvert Slim,260,Laphroaig 10 yo
"Whisky, Tennessee",Brown Bomber,80,George Dickel No. 12
,Dry County Cocktail,107,George Dickel No. 12
,Imperial Silver Corn Fizz,148,George Dickel No. 12
"Whiskey, Wheat",Frankfort Rose,126,"hibiscus-infused, Bernheim"
"Wine, Beaujolais Nouveau",Nouveau Sangaree,193,
"Wine, Cabernet Franc",Silver Sangaree,240,Paumanok
,Single Malt Sangaree,241,Paumanok
"Wine, Champagne",Airmail,48,Moët Imperial
,Bizet,66,Moët Imperial
,Champagne Cocktail,86,Moët Imperial
,Donizetti,107,Moët Imperial
,French 75,127,Moët Imperial
,Imperial Blueberry Fizz,147,Moët Imperial
,Imperial Silver Corn Fizz,148,Moët Imperial
,Jimmie Roosevelt,151,Moët Imperial
,May Day,176,Moët Imperial
,Mexicano,178,Moët Imperial
,Noce Royale,191,Moët Imperial
,Prince of Wales,212,Moët Imperial
,Seelbach Cocktail,234,Moët Imperial
,Velvet Club,260,Moët Imperial
"Wine, Chardonnay",Against All Odds,46,Channing Daughters Scuttlehole
,Henry Hudson,143,Channing Daughters Scuttlehole
"Wine, Prosecco",Aperol Spritz,51,Carpenè Malvolti
"Wine, Reisling",Falling Leaves,119,Dr. Konstantin Frank
"Wine, Rosé",Bizet,66,Shinn Estate
"Wine, Tokaji",Raspberries Reaching,216,"Tokaji Aszú 5 Puttonyos ""Red Label"""
Zwack,St. Rita,247,
